Private IP,Instance Name,Tags
172.22.22.18,HCP Production Batch Server - 1,CostCenter=HCP; WorkloadType=Production; AwsBackup=Required
172.22.0.6,ZPA-App-Connector-EU-VPC1-Node-1,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
172.22.24.59,RXO Production Batch Server ,CostCenter=RXO; WorkloadType=Production; AwsBackup=Required
172.22.20.20,UMG OMS Production Application Server - 1,WorkloadType=Production; AwsBackup=Required; CostCenter=UMG-OMS
172.22.20.13,UMG OMS Production Batch Server - 1,AwsBackup=Required; CostCenter=UMG-OMS; WorkloadType=Production
172.22.22.14,HCP Production Application Server - 1,AwsBackup=Required; CostCenter=HCP; WorkloadType=Production
172.22.128.21,ZPA-App-Connector-EU-VPC2-Node-1,WorkloadType=Production; AwsBackup=Required; CostCenter=Softeon
172.22.24.14,RXO Production Application Server - 1,CostCenter=RXO; WorkloadType=Production; AwsBackup=Required
192.168.8.147,Hofarm Production,AwsBackup=Required; CostCenter=Hofarm; WorkloadType=Production
192.168.8.150,ZPA-App-Connector-Hofarm-VPC-Node-1,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
172.26.240.26,Sony UAT Application Server 1,WorkloadType=UAT; CostCenter=Sony; AwsBackup=Required
172.26.240.70,Sony UAT Application Server 2,WorkloadType=UAT; CostCenter=Sony; AwsBackup=Required
172.26.240.86,Sony UAT Batch Server,AwsBackup=Required; WorkloadType=UAT; CostCenter=Sony
172.26.240.73,Sony Production Application Server 2,AwsBackup=Required; CostCenter=Sony; WorkloadType=Production
172.26.240.94,Sony Production Batch Server,CostCenter=Sony; WorkloadType=Production; AwsBackup=Required
172.26.240.27,ZPA-App-Connector-Sony VPC-Node-1,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
172.26.240.10,Sony Production Application Server 1,WorkloadType=Production; AwsBackup=Required; CostCenter=Sony
172.31.10.190,PTS Production Server 1 -07212014,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
172.31.1.4,Shared Service SFTP Server1,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
172.31.0.6,VPC-NAT-172.31.0,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
172.31.1.54,Shared Service SFTP Server2,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
172.31.11.42,PSS-AS2 Server,AwsBackup=Required; CostCenter=CEVA; WorkloadType=Production
172.29.61.156,UPS DNS Server,CostCenter=UPS; WorkloadType=Production; AwsBackup=Required
192.168.14.83,Softeon Cloud DC Replication - 1,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
192.168.14.87,Softeon Cloud AD Connect - 1,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
172.31.1.28,Shared Service SFTP Server4,CostCenter=Softeon; AwsBackup=Required; WorkloadType=Production
172.31.10.115,Vanguard UAT,WorkloadType=UAT; CostCenter=CA; AwsBackup=Required
172.31.15.50,CA P2F Vanguard Server,WorkloadType=Production; AwsBackup=Required; CostCenter=CA
172.31.1.68,Shared Service SFTP Server3,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
172.18.0.58,VPC-NAT-172.18.0,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
192.168.10.154,Softeon MHE Modex Server - 2,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
192.168.11.89,Elasticsearch Node 1 - APM,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
192.168.10.42,Softeon - Reverse Proxy & Scripts,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
192.168.10.171,Intranet - Wiki,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
192.168.11.80,APM-Server-Kibana,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
192.168.11.110,Shared Service AS2 Gateway Server (Public),WorkloadType=Production; AwsBackup=Required; CostCenter=Softeon
192.168.11.52,Elasticsearch Node 2,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
192.168.11.42,Elasticsearch Node 3,WorkloadType=Production; AwsBackup=Required; CostCenter=Softeon
192.168.14.20,Softeon Cloud DC Replication - 2,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
192.168.11.84,Cloud Control Center - CCC,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
192.168.10.102,NetSparker,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
192.168.12.154,Terraform Instance,CostCenter=Softeon; WorkloadType=Dev; AwsBackup=Required
192.168.14.22,Sftin Cloud DC Replication - 1,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
172.29.70.13,Brooks DNS Server,WorkloadType=Production; AwsBackup=Required; CostCenter=Brooks
192.168.10.205,Swagger 2.0,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
172.31.28.76,SOS UAT Application and Batch Server,WorkloadType=UAT; AwsBackup=Required; CostCenter=SOS
172.31.3.28,Softeon Demo Server - 1,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
172.29.72.11,Cole Haan UAT Application and Batch Server - 1,CostCenter=Cole Haan; WorkloadType=UAT; AwsBackup=Required
172.31.28.142,SOS Production Batch Server - 1,WorkloadType=Production; AwsBackup=Required; CostCenter=SOS
192.168.11.170,ScFlex-232-Demo-Tompkins,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
192.168.11.189,Docker Containerization QA,AwsBackup=Required; CostCenter=Softeon; WorkloadType=UAT
192.168.11.172,Softeon-Zscaler-LSS,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
192.168.10.43,Wiki.JS Server,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
172.28.24.201,HC-Test-DomainAuth,CostCenter=Softeon; WorkloadType=UAT
10.0.10.210,SaddleCreek UAT Application and Batch Server -3,CostCenter=SaddleCreek; AwsBackup=Required; WorkloadType=UAT
192.168.11.167,Scripts Server,WorkloadType=Production; AwsBackup=Required; CostCenter=Softeon; Application=CloudScripts; Deployment=CodeDeploy
192.168.11.168,LDAP-Auth-Testing,CostCenter=Softeon; WorkloadType=Dev
172.29.61.205,Kafka-UPS-Instance,CostCenter=UPS; AwsBackup=Required; WorkloadType=Production
172.29.61.187,LUCA Feature Elastic-WMS-UPS-Instance,AwsBackup=Required; CostCenter=UPS; WorkloadType=UAT
172.29.61.186,Mastodon-Sitelinez-UPS-Instance,CostCenter=UPS; AwsBackup=Required; WorkloadType=UAT
172.31.28.90,SOS Production Application Server - 1,AwsBackup=Required; WorkloadType=Production; CostCenter=SOS
172.31.1.173,Shared Service New SFTP Server - 1,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
10.154.0.19,Vantiva  WMS UAT Application and Batch Server,AwsBackup=Required; WorkloadType=UAT; CostCenter=Technicolor
10.0.10.209,SaddleCreek Elastic Communicator and SLICE UAT Application server,WorkloadType=UAT; CostCenter=SaddleCreek; AwsBackup=Required
172.31.28.137,SOS Production Application Server - 2,CostCenter=SOS; AwsBackup=Required; WorkloadType=Production
172.31.3.110,Softeon Sandbox Server - 1,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
192.168.14.13,Softeon-ZScaler-SysLogger,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
192.168.14.6,Wazuh - Ubuntu - New,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
172.31.18.13,PSS UAT Application and Batch Server,WorkloadType=UAT; CostCenter=PSS; AwsBackup=Required
172.31.22.20,Touchstone UAT Application and Batch Server,AwsBackup=Required; CostCenter=TouchStone; WorkloadType=UAT
172.29.70.14,Brooks-UAT Node 1,WorkloadType=UAT; AwsBackup=Required; CostCenter=Brooks
10.0.9.157,SaddleCreek UAT Application and Batch Server -1,AwsBackup=Required; CostCenter=SaddleCreek; WorkloadType=UAT
172.18.10.18,NFI POC UAT,AwsBackup=Required; WorkloadType=UAT; CostCenter=NFI
172.21.131.150,Honest UAT (Dedicated VPC),AwsBackup=Required; CostCenter=Honest; WorkloadType=UAT
10.0.7.8,Duluth UAT Application and Batch - 1,CostCenter=Duluth; AwsBackup=Required; WorkloadType=UAT
172.29.10.11,UMG UAT Node 1,WorkloadType=UAT; CostCenter=UMG; AwsBackup=Required
172.31.3.8,Softeon Demo Server - 3 - Batchapp Server,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
172.31.3.29,Softeon Demo Server - 2 - App Server,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
172.31.1.197,Shared Service New SFTP Server - 2,WorkloadType=Production; AwsBackup=Required; CostCenter=Softeon
10.50.24.23,Incomm UAT Application and Batch Server,AwsBackup=Required; CostCenter=Incomm; WorkloadType=UAT
172.31.30.19,CraneLogistics UAT Application and Batch Server,CostCenter=CraneLogistics; AwsBackup=Required; WorkloadType=UAT
172.31.3.19,Mastodon-Sitelinez-Demo1-Instance,AwsBackup=Required
192.168.14.85,SVN-Cloud-Replication-Winsvr,WorkloadType=Production; AwsBackup=Required; CostCenter=Softeon
172.29.72.29,Cole Haan Production Application Server - 1,AwsBackup=Required; WorkloadType=Production; CostCenter=Cole Haan
172.29.72.24,Cole Haan Production Batch Server - 1,WorkloadType=Production; CostCenter=Cole Haan; AwsBackup=Required
192.168.11.174,Uptime - Kuma,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
10.50.0.58,ZPA-App-Connector-VPC4-Node-1,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
172.29.70.49,Brooks-DEV-Node-1,AwsBackup=Required; CostCenter=Brooks; WorkloadType=Dev
192.168.10.111,P2F Demo,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
172.31.1.170,Shared Service New SFTP Server - 3,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
172.18.35.20,Cycle-Logistics UAT Application and Batch Server,AwsBackup=Required; WorkloadType=UAT; CostCenter=Cycle-Logistics
172.31.3.103,Softeon Demo Server - 4,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
10.0.10.236,SaddleCreek UAT Application and Batch Server -4,WorkloadType=UAT; CostCenter=SaddleCreek; AwsBackup=Required
172.31.3.104,Softeon Demo Server - 5,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
172.31.3.115,LUCA Feature Elastic-WMS-Demo1-Instance,AwsBackup=Required
172.31.3.121,Kafka-Demo1-Instance,AwsBackup=Required
10.0.10.249,SaddleCreek Elastic Communicator and SLICE Production Application server,WorkloadType=Production; CostCenter=SaddleCreek; AwsBackup=Required
172.29.72.113,Cole Haan Production Application Server - 2,CostCenter=Cole Haan; WorkloadType=Production; AwsBackup=Required
172.31.26.80,Kendra Scott UAT Application and Batch Server,AwsBackup=Required; CostCenter=Kendra Scott; WorkloadType=UAT
10.0.8.202,SaddleCreek Nexcom UAT,CostCenter=SaddleCreek; WorkloadType=UAT; AwsBackup=Required
172.18.40.11,Allen Distribution UAT Application and Batch Server- New,CostCenter=Allen Distribution; AwsBackup=Required; WorkloadType=UAT
10.0.7.54,Duluth UAT Application and Batch - 2,WorkloadType=UAT; AwsBackup=Required; CostCenter=Duluth
172.29.84.7,Midea UAT Application and Batch Server,CostCenter=Midea; WorkloadType=UAT; AwsBackup=Required
172.31.18.39,PSS Production App Server Node 2,WorkloadType=Production; CostCenter=PSS; AwsBackup=Required
172.31.14.30,FL UAT Application and Batch Server,CostCenter=FL; WorkloadType=UAT; AwsBackup=Required
172.72.1.123,SSH-Testing-Server,CostCenter=Softeon
172.31.14.21,FL Production Application and Batch Server,AwsBackup=Required; WorkloadType=Production; CostCenter=FL
172.29.10.46,UMG-OMS US UAT Application and Batch Server,AwsBackup=Required; CostCenter=UMG; WorkloadType=UAT
172.29.10.57,UMG US Bravado UAT (umgusd2c),AwsBackup=Required; CostCenter=UMG; WorkloadType=UAT
172.31.11.50,CEVA Lenovo Production Batch,CostCenter=CEVA; AwsBackup=Required; WorkloadType=Production
172.31.11.11,CEVA-UTI-Lenovo Production App1,WorkloadType=Production; CostCenter=CEVA; AwsBackup=Required
172.29.10.38,UMG NA Production Node2,WorkloadType=Production; AwsBackup=Required; CostCenter=UMG
172.29.10.60,UMG Production Node 2 & Batch,AwsBackup=Required; WorkloadType=Production; CostCenter=UMG
172.29.70.53,Brooks Prod Batch Server,CostCenter=Brooks; AwsBackup=Required; WorkloadType=Production
10.64.24.16,DoItBest-N.V Production Application Server - 1 (MTG),CostCenter=DoItBest; WorkloadType=Production; AwsBackup=Required
172.29.70.36,Brooks Prod App Node 2,CostCenter=Brooks; AwsBackup=Required; WorkloadType=Production
10.64.24.24,DoItBest-N.V Production Application Server - 3 (LEX),AwsBackup=Required; CostCenter=DoItBest; WorkloadType=Production
172.18.10.52,NFI Production Batch Server,WorkloadType=Production; AwsBackup=Required; CostCenter=NFI
172.29.10.178,TransUMG Production Batch Server,WorkloadType=Production; CostCenter=UMG; AwsBackup=Required
192.168.11.187,Linux_Script_Server_test1,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
172.29.0.41,ZPA-App-Connector-VPC3-Node-1,CostCenter=Softeon; AwsBackup=Required; WorkloadType=Production
172.31.2.43,ZPA-App-Connector-VPC1-Node-1,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
10.0.9.186,SaddleCreek Central Prod Node 1,AwsBackup=Required; CostCenter=SaddleCreek; WorkloadType=Production
172.21.131.190,ZPA-App-Connector-HonestDev-VPC-Node-1,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
10.64.24.19,ZPA-App-Connector-DoItBest-VPC-Node-1,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
10.50.25.22,Incomm Production Application Server - 1,AwsBackup=Required; CostCenter=Incomm; WorkloadType=Production
192.168.11.62,Shared Service AS2 Server 1 (NEW-AL2023),CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
172.31.27.76,Suncast UAT Application and Batch Server,WorkloadType=UAT; CostCenter=Suncast; AwsBackup=Required
172.29.10.202,TransUMG UAT Application and Batch Server,CostCenter=UMG; WorkloadType=UAT; AwsBackup=Required
10.0.8.197,SaddleCreek Nexcom Prod Batch,WorkloadType=Production; AwsBackup=Required; CostCenter=SaddleCreek
10.0.8.207,SaddleCreek Nexcom Prod Node 1,AwsBackup=Required; CostCenter=SaddleCreek; WorkloadType=Production
192.168.11.253,Prom-Monitoring,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
172.18.40.28,Allen Distribution UAT Application and Batch Server,AwsBackup=Required; WorkloadType=UAT; CostCenter=Allen Distribution
192.168.11.239,AlertMGR-Monitoring,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
172.31.14.116,FL Production Batch Server New,WorkloadType=Production; CostCenter=FL; AwsBackup=Required
172.29.61.14,UPS Productionization UAT Server - 2,AwsBackup=Required; WorkloadType=UAT; CostCenter=UPS
172.29.60.72,UPS Productionization Post Sales UAT Application Server - 1,WorkloadType=UAT; AwsBackup=Required; CostCenter=UPS
172.29.61.182,UPS Productionization UAT Server - 6 (DOMS),CostCenter=UPS; AwsBackup=Required; WorkloadType=UAT
172.29.61.29,"UPS Productionization UAT Server - 8 (GEEK, LOCUS, API)",AwsBackup=Required; WorkloadType=Dev; CostCenter=UPS
172.29.60.69,UPS UAT Node 2,CostCenter=UPS; WorkloadType=UAT; AwsBackup=Required
172.29.84.21,Midea Production Application Server - 1,CostCenter=Midea; WorkloadType=Production; AwsBackup=Required
172.29.10.132,UMG US Bravado Prod Node 2 and Batch (umgusd2c),CostCenter=UMG; AwsBackup=Required; WorkloadType=Production
10.0.7.49,Duluth Production Application Server - 2,AwsBackup=Required; CostCenter=Duluth; WorkloadType=Production
10.0.7.42,Duluth Production Batch Server - 2,WorkloadType=Production; AwsBackup=Required; CostCenter=Duluth
10.0.7.212,Duluth Production Application Server - 6,CostCenter=Duluth; WorkloadType=Production; AwsBackup=Required
10.0.7.45,Duluth Production Batch Server - 3,AwsBackup=Required; WorkloadType=Production; CostCenter=Duluth
172.31.18.61,PSS UAT Application and Batch Server - 2,AwsBackup=Required; WorkloadType=UAT; CostCenter=PSS
172.31.10.141,PTS Production Server 1 (AL2023),CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
172.29.60.90,UPS Productionization Post Sales Production Application Server - 1,CostCenter=UPS; WorkloadType=Production; AwsBackup=Required
172.29.60.155,UPS Productionization Post Sales Production Batch Server - 2,CostCenter=UPS; WorkloadType=Production; AwsBackup=Required
172.29.60.80,UPS Pilot Production Batch,AwsBackup=Required; WorkloadType=Production; CostCenter=UPS
172.29.59.180,UPS Productionization API Production Application Server 1,AwsBackup=Required; WorkloadType=Production; CostCenter=UPS
172.29.60.83,UPS Productionization Production Application Server - 6,CostCenter=UPS; WorkloadType=Production; AwsBackup=Required
172.29.60.144,UPS Productionization Production Batch Server - 2,AwsBackup=Required; WorkloadType=Production; CostCenter=UPS
172.29.60.91,UPS Productionization Production Application Server - 4,CostCenter=UPS; AwsBackup=Required; WorkloadType=Production
172.29.59.183,UPS Productionization API Production Application Server 3,WorkloadType=Production; AwsBackup=Required; CostCenter=UPS
10.50.25.39,Incomm Production Application Server - 2,AwsBackup=Required; WorkloadType=Production; CostCenter=Incomm
10.50.25.49,Incomm Production Batch Server - 1,CostCenter=Incomm; WorkloadType=Production; AwsBackup=Required
10.154.0.29,Technicolor UAT Application and Batch,AwsBackup=Required; CostCenter=Technicolor; WorkloadType=UAT
10.0.10.208,SaddleCreek SCLS Production Application Server - 1,AwsBackup=Required; CostCenter=SaddleCreek; WorkloadType=Production
10.0.10.214,SaddleCreek SCLS Production Batch Server - 1,AwsBackup=Required; WorkloadType=Production; CostCenter=SaddleCreek
172.29.60.221,UPS Swarovski UAT Application and Batch Server,CostCenter=UPS; WorkloadType=UAT; AwsBackup=Required
172.28.24.20,UPSHC Dev Batch Server - 3,CostCenter=UPSHC; WorkloadType=Dev; AwsBackup=Required
172.28.24.215,UPSHC Dev Batch Server - 4,AwsBackup=Required; CostCenter=UPSHC; WorkloadType=Dev
172.28.24.24,UPSHC Dev Application and Batch Server - 1,AwsBackup=Required; WorkloadType=Dev; CostCenter=UPSHC
10.0.10.10,SaddleCreek East Prod Batch,AwsBackup=Required; WorkloadType=Production; CostCenter=SaddleCreek
10.0.10.6,SaddleCreek East-West Prod Node 1,AwsBackup=Required; CostCenter=SaddleCreek; WorkloadType=Production
172.31.15.15,CA Production Application Server 1,WorkloadType=Production; CostCenter=CA; AwsBackup=Required
172.18.35.18,Cycle-Logistics Production Application Server - 1,WorkloadType=Production; AwsBackup=Required; CostCenter=Cycle-Logistics
10.154.0.4,Vantiva WMS Production Application Server - 1,WorkloadType=Production; CostCenter=Technicolor; AwsBackup=Required
172.31.10.209,PTS Production Server 2,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
172.29.61.247,UPS Swarovski Production Batch Server,AwsBackup=Required; WorkloadType=Production; CostCenter=UPS
10.154.0.25,Technicolor Production Application Server -1,CostCenter=Technicolor; AwsBackup=Required; WorkloadType=Production
172.29.61.241,UPS Productionization Production Application Server - 3,AwsBackup=Required; WorkloadType=Production; CostCenter=UPS
10.0.10.8,SaddleCreek Billing Prod,WorkloadType=Production; CostCenter=SaddleCreek; AwsBackup=Required
10.0.24.186,ZPA-App-Connector-ConMed-VPC-Node-1,WorkloadType=Production; AwsBackup=Required; CostCenter=Softeon
10.0.10.158,SaddleCreek RRS Prod Node 1,AwsBackup=Required; CostCenter=SaddleCreek; WorkloadType=Production
172.29.60.204,UPS APACPZN Prod Application Server – 2,AwsBackup=Required; CostCenter=UPS; WorkloadType=Production
172.28.25.29,UPSHC-HAB UAT Application Server and  Batch Server - 1,AwsBackup=Required; CostCenter=UPSHC; WorkloadType=UAT
172.28.25.15,UPSHC-VAC UAT Application Server and  Batch Server - 2,CostCenter=UPSHC; AwsBackup=Required; WorkloadType=UAT
172.28.25.9,UPSHC UAT Batch Server 2,WorkloadType=UAT; CostCenter=UPSHC; AwsBackup=Required
172.31.11.103,CEVA-UTI-Lenovo UAT,WorkloadType=UAT; AwsBackup=Required; CostCenter=CEVA
192.168.11.91,Shared Service AS2 Server 2 (NEW-AL2023),CostCenter=Softeon; AwsBackup=Required; WorkloadType=Production
172.31.15.48,CA UAT Application and Batch Server,AwsBackup=Required; CostCenter=CA; WorkloadType=UAT
10.0.9.178,SaddleCreek UAT Application and Batch Server -2,WorkloadType=UAT; CostCenter=SaddleCreek; AwsBackup=Required
172.29.100.10,NSI UAT Application and Batch Server,WorkloadType=UAT; AwsBackup=Required; CostCenter=NSI
172.29.100.5,NSI Production Application Server 1,CostCenter=NSI; AwsBackup=Required; WorkloadType=Production
172.31.22.59,Touchstone Production Batch and Application Server 2,WorkloadType=Production; CostCenter=TouchStone; AwsBackup=Required
172.31.15.44,CA Production Batch and Application Server 2,CostCenter=CA; AwsBackup=Required; WorkloadType=Production
172.29.10.51,UMG US Bravado Prod Node 1 (umgusd2c),AwsBackup=Required; CostCenter=UMG; WorkloadType=Production
172.18.10.60,NFI Production Application Server 2,CostCenter=NFI; AwsBackup=Required; WorkloadType=Production
10.64.24.18,DoItBest-N.V Production Batch Server - 2 (LEX),AwsBackup=Required; CostCenter=DoItBest; WorkloadType=Production
172.29.10.169,TransUMG Production Application Server - 1,CostCenter=UMG; WorkloadType=Production; AwsBackup=Required
192.168.11.90,NGINX - Reverse Proxy - 1 (AL-2023),AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
192.168.10.242,DPA - Solarwinds Monitoring Server,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
10.0.9.164,SaddleCreek Central Prod Batch,AwsBackup=Required; WorkloadType=Production; CostCenter=SaddleCreek
10.0.9.180,ZPA-App-Connector-SaddleCreek-VPC-Node-1,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
192.168.11.164,ZPA-App-Connector-SofteonVPC-Node-1,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
172.72.1.106,ZPA-App-Connector-Pillpack-VPC-Node-1,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
10.0.10.237,SaddleCreek SCLS Production Application Server - 2,WorkloadType=Production; CostCenter=SaddleCreek; AwsBackup=Required
172.28.24.45,UPSHC Dev Application and Batch Server - 2,AwsBackup=Required; CostCenter=UPSHC; WorkloadType=Dev
10.0.10.43,SaddleCreek West Prod Batch,CostCenter=SaddleCreek; WorkloadType=Production; AwsBackup=Required
10.0.10.55,SaddleCreek East-West Prod Node 3 (WES and WS),AwsBackup=Required; WorkloadType=Production; CostCenter=SaddleCreek
172.28.24.60,UPSHC QA Application and Batch Server - 1,AwsBackup=Required; CostCenter=UPSHC; WorkloadType=QA
172.18.35.59,Cycle-Logistics Production Application Server - 2,WorkloadType=Production; AwsBackup=Required; CostCenter=Cycle-Logistics
10.64.24.119,DoItBest-N.V Production Application Server - 2 (MTG),WorkloadType=Production; AwsBackup=Required; CostCenter=DoItBest
10.64.24.116,DoItBest-N.V Production Application Server - 4 (LEX),WorkloadType=Production; AwsBackup=Required; CostCenter=DoItBest
10.154.0.41,Vantiva WMS Production Batch Server,WorkloadType=Production; CostCenter=Technicolor; AwsBackup=Required
10.154.0.43,Vantiva WMS Production Application Server - 2,AwsBackup=Required; WorkloadType=Production; CostCenter=Technicolor
10.154.0.60,Technicolor Production Application Server - 2,AwsBackup=Required; WorkloadType=Production; CostCenter=Technicolor
10.154.0.229,Vantiva DOMS Production Application Server - 2,WorkloadType=Production; CostCenter=Technicolor; AwsBackup=Required
10.154.0.59,ZPA-App-Connector-Technicolor-VPC-Node-1,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
10.0.10.48,SaddleCreek RRS Prod Node 2,WorkloadType=Production; CostCenter=SaddleCreek; AwsBackup=Required
172.29.60.249,UPS APACPZN Prod Batch Server,AwsBackup=Required; CostCenter=UPS; WorkloadType=Production
10.0.10.234,SaddleCreek Infor Production Application Server 2 and Batch Server,AwsBackup=Required; WorkloadType=Production; CostCenter=SaddleCreek
172.29.60.245,UPS APACPZN Prod Application Server – 1,WorkloadType=Production; AwsBackup=Required; CostCenter=UPS
172.31.1.203,Shared Service New SFTP Server - 4,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
172.29.100.102,NSISB1 UAT Application and Batch Server,CostCenter=NSI; WorkloadType=UAT; AwsBackup=Required
10.0.8.252,SaddleCreek Nexcom Prod Node 2,WorkloadType=Production; CostCenter=SaddleCreek; AwsBackup=Required
172.31.3.4,Softeon-Cups-Lab Server - 1,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
